wavelength,Intensity
200,2.19876E-06
201,0
202,5.7024E-06
203,2.69204E-06
204,1.51118E-06
205,5.90719E-06
206,4.92617E-06
207,1.35248E-06
208,7.20911E-07
209,1.82422E-06
210,2.50674E-06
211,1.85272E-06
212,1.0677E-06
213,6.23148E-08
214,1.28084E-07
215,3.79748E-07
216,1.21666E-06
217,1.42234E-06
218,8.11787E-07
219,1.11934E-06
220,6.23532E-07
221,9.85231E-07
222,2.01869E-06
223,2.53236E-06
224,2.80903E-06
225,1.16981E-05
226,9.50149E-05
227,1.58127E-05
228,4.14268E-06
229,3.35995E-06
230,3.04512E-05
231,7.18798E-06
232,6.24669E-06
233,3.6081E-06
234,9.31749E-06
235,3.04912E-05
236,7.87016E-06
237,8.49821E-06
238,0.000171785
239,3.78278E-06
240,0.000107472
241,2.09939E-06
242,2.60931E-06
243,2.21843E-06
244,8.84165E-06
245,2.84519E-05
246,4.40314E-05
247,4.35903E-05
248,0.000572168
249,0.000191871
250,0.000349001
251,0.001140013
252,0.003207066
253,0.509101478
254,1
255,0.003467427
256,0.001585359
257,0.000590458
258,0.000221341
259,4.87564E-05
260,3.50293E-05
261,2.69266E-05
262,5.1638E-05
263,5.50203E-05
264,5.83798E-05
265,0.00235411
266,0.000412109
267,1.79093E-05
268,1.38526E-05
269,1.88355E-05
270,0.000128515
271,1.36137E-05
272,1.13135E-05
273,9.72985E-06
274,1.08396E-05
275,0.000410615
276,0.000126867
277,1.40308E-05
278,1.599E-05
279,1.94623E-05
280,0.00036499
281,0.000205153
282,9.96026E-05
283,9.37007E-05
284,1.91849E-05
285,2.05328E-05
286,4.75088E-05
287,1.42826E-05
288,1.5811E-05
289,0.000751754
290,0.00050474
291,1.67593E-05
292,8.99756E-05
293,0.000130871
294,1.64636E-05
295,2.00535E-05
296,0.000678857
297,0.003244087
298,2.32806E-05
299,2.01364E-05
300,2.00313E-05
301,2.61252E-05
302,0.002402789
303,0.000236455
304,2.18198E-05
305,2.03943E-05
306,2.01714E-05
307,2.02511E-05
308,2.108E-05
309,2.35893E-05
310,2.92202E-05
311,4.41656E-05
312,0.004510387
313,0.016438289
314,0.000290277
315,4.13531E-05
316,2.99102E-05
317,2.33099E-05
318,2.32679E-05
319,2.39541E-05
320,2.3522E-05
321,2.28294E-05
322,2.29368E-05
323,2.38806E-05
324,2.34922E-05
325,2.38951E-05
326,2.53607E-05
327,2.48081E-05
328,2.4152E-05
329,2.32871E-05
330,2.43926E-05
331,2.49143E-05
332,2.42633E-05
333,2.67743E-05
334,0.001095734
335,0.000155731
336,2.55819E-05
337,2.47529E-05
338,2.45899E-05
339,2.4717E-05
340,2.4779E-05
341,2.43612E-05
342,2.42578E-05
343,2.45776E-05
344,2.50375E-05
345,2.51035E-05
346,2.51629E-05
347,2.53073E-05
348,2.67743E-05
349,2.84874E-05
350,2.61099E-05
351,2.62496E-05
352,2.60998E-05
353,2.54281E-05
354,2.55233E-05
355,2.49514E-05
356,2.57702E-05
357,2.55447E-05
358,2.59212E-05
359,2.78946E-05
360,2.52425E-05
361,2.72684E-05
362,2.92421E-05
363,3.77574E-05
364,0.000257473
365,0.015600753
366,0.00287755
367,0.000402556
368,3.2767E-05
369,2.71181E-05
370,3.3433E-05
371,2.92897E-05
372,2.60628E-05
373,2.55631E-05
374,2.49281E-05
375,2.51821E-05
376,2.45254E-05
377,2.46321E-05
378,2.39086E-05
379,2.38384E-05
380,2.6447E-05
381,2.35149E-05
382,2.30931E-05
383,2.34782E-05
384,2.3181E-05
385,2.30896E-05
386,2.33551E-05
387,2.27495E-05
388,2.25559E-05
389,2.60321E-05
390,7.69064E-05
391,3.69062E-05
392,2.31425E-05
393,2.29869E-05
394,2.33615E-05
395,2.43642E-05
396,2.56796E-05
397,2.82136E-05
398,3.29481E-05
399,3.32112E-05
400,4.30073E-05
