wavelength_nm,intensity_normalized
190.000,0.000
190.500,100.000
191.000,100.000
191.500,88.500
192.000,84.000
192.500,98.300
193.000,13.300
193.500,100.000
194.000,85.500
194.500,74.100
195.000,100.000
195.500,81.300
196.000,64.700
196.500,53.700
197.000,44.000
197.500,36.400
198.000,30.200
198.500,25.100
199.000,21.300
199.500,18.100
200.000,15.100
200.500,12.700
201.000,11.200
201.500,9.400
202.000,8.100
202.500,7.200
203.000,6.400
203.500,5.700
204.000,5.200
204.500,4.700
205.000,4.300
205.500,3.900
206.000,3.500
206.500,3.300
207.000,3.100
207.500,2.800
208.000,2.600
208.500,2.400
209.000,2.300
209.500,2.100
210.000,2.000
210.500,1.900
211.000,1.800
211.500,1.700
212.000,1.600
212.500,1.500
213.000,1.500
213.500,1.400
214.000,1.400
214.500,1.300
215.000,1.300
215.500,1.200
216.000,1.200
216.500,1.200
217.000,1.100
217.500,1.100
218.000,1.100
218.500,1.100
219.000,1.200
219.500,1.200
220.000,1.400
220.500,1.600
221.000,1.800
221.500,2.000
222.000,2.300
222.500,2.700
223.000,3.100
223.500,3.700
224.000,4.700
224.500,5.300
225.000,6.800
225.500,8.000
226.000,9.400
226.500,10.500
227.000,11.700
227.500,13.000
228.000,14.300
228.500,15.300
229.000,16.100
229.500,15.900
230.000,15.500
230.500,14.200
231.000,12.400
231.500,10.800
232.000,9.500
232.500,8.400
233.000,7.600
233.500,6.800
234.000,6.200
234.500,5.600
235.000,5.100
235.500,4.700
236.000,4.300
236.500,3.900
237.000,3.500
237.500,3.200
238.000,2.900
238.500,2.600
239.000,2.400
239.500,2.200
240.000,2.000
240.500,1.900
241.000,1.800
241.500,1.700
242.000,1.600
242.500,1.500
243.000,1.500
243.500,1.400
244.000,1.400
244.500,1.400
245.000,1.300
245.500,1.300
246.000,1.300
246.500,1.200
247.000,1.200
247.500,1.200
248.000,1.100
248.500,1.100
249.000,1.100
249.500,1.100
250.000,1.100
250.500,1.100
251.000,1.100
251.500,1.200
252.000,1.200
252.500,1.300
253.000,1.400
253.500,1.500
254.000,1.700
254.500,1.800
255.000,2.000
255.500,2.200
256.000,2.400
256.500,2.700
257.000,3.000
257.500,3.500
258.000,4.000
258.500,5.100
259.000,6.800
259.500,8.900
260.000,11.100
260.500,13.400
261.000,15.000
261.500,15.800
262.000,15.300
262.500,13.800
263.000,12.300
263.500,10.800
264.000,9.600
264.500,8.600
265.000,7.700
265.500,7.000
266.000,6.400
266.500,5.800
267.000,5.300
267.500,4.800
268.000,4.500
268.500,4.100
269.000,3.800
269.500,3.400
270.000,3.100
270.500,0.000
271.000,0.000
271.500,0.000
272.000,0.000
272.500,0.000
273.000,0.000
273.500,0.000
274.000,0.000
274.500,0.000
275.000,0.000
